cell_id,char,page,row,col,raw_path,norm_64_path,class_path
p1_r01_c01_Ә,Ә,1,1,1,cells_raw_100x100/p1_r01_c01_Ә.png,cells_64x64/p1_r01_c01_Ә.png,by_class/Ә/p1_r01_c01_Ә.png
p1_r01_c02_Ә,Ә,1,1,2,cells_raw_100x100/p1_r01_c02_Ә.png,cells_64x64/p1_r01_c02_Ә.png,by_class/Ә/p1_r01_c02_Ә.png
p1_r01_c03_Ә,Ә,1,1,3,cells_raw_100x100/p1_r01_c03_Ә.png,cells_64x64/p1_r01_c03_Ә.png,by_class/Ә/p1_r01_c03_Ә.png
p1_r01_c04_Ә,Ә,1,1,4,cells_raw_100x100/p1_r01_c04_Ә.png,cells_64x64/p1_r01_c04_Ә.png,by_class/Ә/p1_r01_c04_Ә.png
p1_r01_c05_Ә,Ә,1,1,5,cells_raw_100x100/p1_r01_c05_Ә.png,cells_64x64/p1_r01_c05_Ә.png,by_class/Ә/p1_r01_c05_Ә.png
p1_r01_c06_Ә,Ә,1,1,6,cells_raw_100x100/p1_r01_c06_Ә.png,cells_64x64/p1_r01_c06_Ә.png,by_class/Ә/p1_r01_c06_Ә.png
p1_r01_c07_Ә,Ә,1,1,7,cells_raw_100x100/p1_r01_c07_Ә.png,cells_64x64/p1_r01_c07_Ә.png,by_class/Ә/p1_r01_c07_Ә.png
p1_r01_c08_Ә,Ә,1,1,8,cells_raw_100x100/p1_r01_c08_Ә.png,cells_64x64/p1_r01_c08_Ә.png,by_class/Ә/p1_r01_c08_Ә.png
p1_r01_c09_Ә,Ә,1,1,9,cells_raw_100x100/p1_r01_c09_Ә.png,cells_64x64/p1_r01_c09_Ә.png,by_class/Ә/p1_r01_c09_Ә.png
p1_r01_c10_Ә,Ә,1,1,10,cells_raw_100x100/p1_r01_c10_Ә.png,cells_64x64/p1_r01_c10_Ә.png,by_class/Ә/p1_r01_c10_Ә.png
